data,brasil_retorno,brasil_peso,brasil_saldo,brasil_mov,ouro_retorno,ouro_peso,ouro_saldo,ouro_mov,sp500_retorno,sp500_peso,sp500_saldo,sp500_mov,reits_retorno,reits_peso,reits_saldo,reits_mov,saldo_total,retorno_total
2008-06-01,-0.1239,0.42690942864578096,52562.224557852365,0.0,0.0157,0.26743306772685566,32927.07074810878,0.0,-0.11,0.16814424418566845,20702.366656630205,0.0,-0.1411,0.13751325944169482,16930.9983276426,0.0,123122.66029023397,-0.09058932031905276
2008-07-01,-0.109,0.40423222787197977,46832.94208104646,0.0,-0.0326,0.274940471865254,31853.648241720435,0.0,-0.0304,0.1732575212207896,20073.014710268646,0.0,0.0098,0.1475697790419766,17096.922111253498,0.0,115856.52714428904,-0.05901540081100143
2008-08-01,-0.0545,0.3878212765066317,44280.546737629425,0.0,-0.0485,0.26545238363480517,30308.746301996995,0.0,0.0595,0.1862654135086808,21267.35908552963,0.0,0.0716,0.1604609263498823,18321.061734419247,0.0,114177.7138595753,-0.014490450612445138
2008-09-01,-0.0791,0.37775687952469056,46035.27229168294,5708.89,0.2581,0.253962385924292,30949.07921354242,-5708.89,0.0911,0.19041439870309998,23204.815498221382,0.0,0.1831,0.17786633584791742,21675.64813799141,0.0,121864.81514143816,0.06732575930988638
2008-10-01,-0.2824,0.3399093055989853,33034.91139651168,0.0,-0.1083,0.28395950287763966,27597.293934715777,0.0,-0.1089,0.21276219950174177,20677.811090465075,0.0,-0.2675,0.1633689920216333,15877.412261078709,0.0,97187.42868277123,-0.20249804203145894
2008-11-01,0.0179,0.329990062901426,33626.23631050924,0.0,0.2334,0.33403582322510383,34038.50233907844,0.0,0.0087,0.2046864932142944,20857.70804695212,0.0,-0.1574,0.13128762065917568,13378.30757118492,0.0,101900.75426772473,0.048497276333323125
2008-12-01,0.0099,0.3148394976128903,33959.13604998328,0.0,0.0912,0.3443557811518965,37142.81375240239,0.0,0.0228,0.19778341958800308,21333.26379042263,0.0,0.1531,0.14302130164721008,15426.52646033333,0.0,107861.74005314164,0.058497955469059226
2009-01-01,-0.0002,0.46886134314009403,48528.07549337328,14578.647,0.0379,0.21632385023993672,22389.945959618446,-15570.46,-0.099,0.18779052838394697,19436.690765170788,239.09,-0.1874,0.12702427823602228,13147.263799666864,752.73,103501.97601782938,-0.04041993048845938
2009-02-01,-0.0123,0.48039504327974025,47931.18016480479,0.0,0.0448,0.2344588360535655,23393.015538609354,0.0,-0.0874,0.17778011588014772,17737.92399229486,0.0,-0.1852,0.10736600478654656,10712.39054396856,0.0,99774.51023967756,-0.0360134745399423
2009-03-01,0.092,0.49983883379046407,52340.84873996683,0.0,-0.0375,0.21501867501920754,22515.777455911502,0.0,0.0753,0.18214685175764672,19073.589668914665,0.0,0.0068,0.1029956394326817,10785.234799667547,0.0,104715.45066446054,0.04952106918805099
2009-04-01,0.1183,0.5248015324200144,58532.7711459049,0.0,-0.0975,0.18219236230828367,20320.48915396013,0.0,0.0226,0.17487761942532332,19504.652795432135,0.0,0.2216,0.1181284858463785,13175.242831273876,0.0,111533.15592657105,0.06510696577104436
2009-05-01,0.1251,0.558968387813429,65855.2208162576,0.0,0.0163,0.1752883772797205,20651.71312716968,0.0,-0.032,0.16025464190417668,18880.50390597831,0.0,-0.0567,0.10548859300267391,12428.206562740646,0.0,117815.64441214623,0.05632843824226863
2009-06-01,-0.0629,0.5570583080055536,61712.927426915,0.0,-0.0765,0.1721541478348805,19071.857072941202,0.0,-0.0233,0.16645593184621338,18440.588164969013,0.0,-0.07,0.1043316123133525,11558.2321033488,0.0,110783.60476817402,-0.05968680712191765
2009-07-01,0.0468,0.5621987801090433,64601.09243049462,0.0,-0.0083,0.1645975374422835,18913.56065923579,0.0,0.034,0.16593780627132476,19067.568162577958,0.0,0.0664,0.10726587617734845,12325.698715011162,0.0,114907.91996731953,0.037228570128008176
2009-08-01,0.0095,0.5536557567028764,65214.80280858432,0.0,-0.0054,0.15970385005863771,18811.42743167592,0.0,0.0325,0.16713946295465767,19687.26412786174,0.0,0.142,0.11950093028382826,14075.947932542747,0.0,117789.44230066473,0.025076794829849147
2009-09-01,0.1045,0.5786049358170625,72029.74970208138,0.0,0.0076,0.15225800632768868,18954.394280156655,0.0,-0.0155,0.1556937993876669,19382.111533879885,0.0,0.0033,0.11344325846758194,14122.398560720138,0.0,124488.65407683805,0.05687446723003564
2009-10-01,-0.0131,0.5842767862957006,71086.15998098411,0.0,0.0061,0.15674173025926413,19070.01608526561,0.0,-0.0494,0.15143716667620052,18424.63522410622,0.0,-0.0735,0.10754431676883465,13084.402266507208,0.0,121665.21355686316,-0.022680304007722474
