data,sp500_retorno,sp500_peso,sp500_saldo,sp500_mov,ouro_retorno,ouro_peso,ouro_saldo,ouro_mov,tbond_retorno,tbond_peso,tbond_saldo,tbond_mov,bil_retorno,bil_peso,bil_saldo,bil_mov,saldo_total,retorno_total
2013-04-01,0.0106,0.3310660833343443,49056.282910101225,0.0,-0.0823,0.2801232655114342,41507.74378404821,0.0,0.0369,0.21005294936854857,31124.954892821916,0.0,-0.0076,0.1787577017856729,26487.728077845582,0.0,148176.70966481694,-0.015305118335734114
2013-05-01,0.074,0.3463150799461785,52686.44784544872,0.0,-0.0098,0.270162168156864,41100.96789496454,0.0,-0.021,0.20029213977191296,30471.330840072656,0.0,0.0524,0.18323061212504466,27875.685029124692,0.0,152134.4316096106,0.02670947380155897
2013-06-01,0.0202,0.3560908685015144,53750.714091926784,0.0,-0.0785,0.2509134762678391,37874.541915209826,0.0,-0.0005,0.20176731723710709,30456.09517465262,0.0,0.0355,0.1912283379935393,28865.27184765862,0.0,150946.62302944786,-0.007807624924847656
2013-07-01,0.0946,0.36267909275111426,58835.53164502306,0.0,0.117,0.2607854760158427,42305.863319289376,0.0,0.0171,0.19095046214246722,30976.89440213918,0.0,0.043,0.18558496909057587,30106.47853710794,0.0,162224.76790355955,0.07471611254205701
2013-08-01,0.0086,0.35134050905807745,59341.51721717026,0.0,0.0985,0.27515043481493795,46472.99085623938,0.0,0.0246,0.18791515522840677,31738.926004431803,0.0,0.0412,0.1855939008985777,31346.865452836788,0.0,168900.29953067825,0.041149891680456685
2013-09-01,-0.0209,0.36261347400725175,58101.2795073314,0.0,-0.0955,0.2623417646207697,42034.82022946852,0.0,-0.0455,0.18907164406495422,30294.804871230157,0.0,-0.0494,0.18597311730702437,29798.330299466652,0.0,160229.23490749672,-0.051338361431422785
2013-10-01,0.011,0.372279122357213,58740.393581912045,0.0,-0.0353,0.2570001058505315,40550.99107536828,0.0,-0.0209,0.187986663310739,29661.643449421448,0.0,-0.0324,0.18273410848151647,28832.864397763933,0.0,157785.8925044657,-0.01524904243873848
2013-11-01,0.0947,0.38621653545772766,64303.10885411911,0.0,0.0073,0.24533482510554702,40847.01331021847,0.0,0.0333,0.1840859033363514,30649.376176287184,0.0,0.0646,0.18436273610037396,30695.467437859483,0.0,166494.96577848424,0.055195512956090376
2013-12-01,0.0398,0.39711850016173317,66862.37258651305,0.0,-0.0216,0.23736412854045022,39964.71782271775,0.0,-0.0094,0.18032597930948358,30361.272040230084,0.0,0.0158,0.1851913919883331,31180.455823377662,0.0,168368.81827283854,0.011254709627962045
2014-01-01,-0.0168,0.23757229512546363,41385.06341505963,-24770.16,0.0522,0.254244854190602,44289.42107106362,2127.49,0.0837,0.26185627836261616,45615.330187997344,11730.94,0.01943,0.24632657232131808,42910.05738252589,10911.75,174199.8720566465,0.0346326228551348
