data,sp500_retorno,sp500_peso,sp500_saldo,sp500_mov,tbond_20_retorno,tbond_20_peso,tbond_20_saldo,tbond_20_mov,tbond_7_10_retorno,tbond_7_10_peso,tbond_7_10_saldo,tbond_7_10_mov,ouro_retorno,ouro_peso,ouro_saldo,ouro_mov,commodities_retorno,commodities_peso,commodities_saldo,commodities_mov,saldo_total,retorno_total
2014-03-01,-0.0186,0.2724652391186317,37345.68474821233,0.0,-0.0206,0.1409544345762572,19320.04205224671,0.0,-0.0324,0.204511905154221,28031.60198288782,0.0,-0.057,0.1692652839665431,23200.49322357354,0.0,-0.0259,0.2128031371843471,29168.04690545113,0.0,137065.86891237152,-0.029941959655785277
2014-04-01,-0.0089,0.271761331897514,37013.30815395324,0.0,0.0031,0.1422925155364525,19379.93418260868,0.0,-0.0094,0.2038806460394096,27768.10492424867,0.0,-0.0079,0.1689983353360559,23017.20932710731,0.0,-0.0051,0.2130671711905679,29019.28986623333,0.0,136197.84645415124,-0.00633288553239475
2014-05-01,0.0194,0.275688431630525,37731.36633213994,0.0,0.0254,0.1451983300218085,19872.18451084695,0.0,0.0147,0.2058732462373412,28176.29606663513,0.0,-0.033,0.1626279366792529,22257.64141931276,0.0,-0.0067,0.2106120554310724,28824.86062412956,0.0,136862.34895306433,0.004878950117150227
2014-06-01,0.0091,0.2757990209278643,38074.72176576241,0.0,-0.0148,0.1418162495142491,19578.07618008641,0.0,-0.0136,0.2013227932562887,27793.09844012889,0.0,0.0506,0.1693840527133334,23383.87807512999,0.0,0.0138,0.2116778835882645,29222.64370074255,0.0,138052.41816185025,0.00869537325560632
2014-07-01,0.0045,0.2673183498199729,36803.41744243958,-1442.640571268763,0.024,0.1406909219072405,19369.81405429493,-678.1359541135535,0.0157,0.205019564686251,28226.34745462423,-3.102631014688086,-0.0148,0.1663466348041265,22901.99922663108,-135.7974529869862,-0.0379,0.2206245287824092,30374.7821138684,2259.676609383998,137676.3602918582,-0.0027240223315114775
2014-08-01,0.0344,0.2727389431882626,38069.4550024595,0.0,0.0412,0.1444874428147436,20167.85039333188,0.0,0.0137,0.2049909195056781,28613.04841475258,0.0,0.001,0.1642396333919618,22924.90122585771,0.0,-0.0187,0.2135430610993538,29806.77368833906,0.0,139582.02872474073,0.013841653199160087
2014-09-01,0.0751,0.2776969896665104,40928.47107314421,0.0,0.0665,0.1459372375738026,21509.01244448845,0.0,0.0787,0.2094162887933216,30864.89532499361,0.0,0.0254,0.1594947663461643,23507.1937169945,0.0,0.0258,0.2074547176202014,30575.78844949821,0.0,147385.361009119,0.05590499261023529
2014-10-01,0.006,0.2852970657794574,41174.04189958308,0.0,0.0084,0.1502889709414258,21689.68814902215,0.0,-0.0035,0.2131159303951718,30756.86819135613,0.0,-0.046,0.1553899632135191,22425.86280601275,0.0,-0.0753,0.195908069670426,28273.431579251,0.0,144319.8926252251,-0.020799001765882452
2014-11-01,0.0768,0.2943613678475697,44336.20831747106,0.0,0.0796,0.155467081930125,23416.18732568432,0.0,0.0628,0.2170280761205832,32688.3995137733,0.0,0.0462,0.1557708321548677,23461.93766765054,0.0,-0.0551,0.1773726419468544,26715.56549923427,0.0,150618.29832381348,0.04364197882924081
2014-12-01,0.0467,0.2989261951952918,46406.70924589696,0.0,0.0806,0.1629912716477629,25303.53202413447,0.0,0.0492,0.2209200537991428,34296.66876985094,0.0,0.0663,0.1611485815055101,25017.46413501577,0.0,-0.0934,0.1560138978522924,24220.33168160578,0.0,155244.70585650392,0.030716105441213726
2015-01-01,-0.048,0.2405821287960049,37285.96539041524,-6893.221811678653,0.0789,0.1796284950720575,27839.23263089994,539.2519300612548,0.0247,0.2332078065650103,36143.07616228068,999.2796738144243,0.0647,0.1690588957558442,26201.13209422604,-434.9619703252538,-0.1031,0.1775226738110832,27512.86766336046,5789.652178128228,154982.27394118236,-0.0016904403526915024
2015-02-01,0.1751,0.2545448753754802,43814.73793027696,0.0,0.0435,0.1687694570117899,29050.23925034409,0.0,0.0847,0.2277607544367692,39204.39471322585,0.0,0.0531,0.1603001058246693,27592.41220842944,0.0,0.1801,0.1886248073512915,32467.93512953168,0.0,172129.71923180803,0.1106413324218829
