data,ouro_retorno,ouro_peso,ouro_saldo,ouro_mov,sp500_retorno,sp500_peso,sp500_saldo,sp500_mov,small_caps_retorno,small_caps_peso,small_caps_saldo,small_caps_mov,emergentes_retorno,emergentes_peso,emergentes_saldo,emergentes_mov,bil_retorno,bil_peso,bil_saldo,bil_mov,saldo_total,retorno_total
2008-02-01,0.0004,0.4433260009908261,45406.905120909265,0.0,-0.083,0.19488597149674686,19960.86130155071,0.0,-0.0778,0.15169592327176878,15537.194705104774,0.0,-0.031,0.17940102948540493,18374.84268062544,0.0,-0.0509,0.030691074755253307,3143.4806809342963,0.0,102423.28448912449,-0.0362795153211789
2008-03-01,-0.0196,0.4384450036681478,45187.101808539446,683.57,0.0368,0.18363234617668694,18925.55155744778,-1707.05,0.0344,0.13880844012607993,14305.901682960379,-1707.05,0.0039,0.16235631363859684,16732.79707207988,-1707.05,0.0435,0.07675789639048855,7910.836820554938,4437.58,103062.18894158241,0.006237882876386047
2008-04-01,-0.067,0.4268833234175335,43270.6663573673,1190.89,0.0241,0.1738539742086842,17622.560779982272,-1717.7,0.0222,0.12694487572080385,12867.659760322098,-1717.7,0.067,0.1580549746387911,16021.108575909231,-1717.7,-0.0245,0.11426285201418734,11582.157173451342,3962.21,101364.15264703224,-0.016475841547598513
2008-05-01,-0.0262,0.4485232091907396,44418.78305880427,2343.2,-0.0296,0.15612447511683147,15461.539220894798,-1689.4,0.0041,0.11333640412571112,11224.090625339419,-1689.4,-0.0095,0.1433410935177913,14195.557344438093,-1689.4,-0.0401,0.13867481804892637,13733.440170795942,2725.0,99033.41042027253,-0.022993752385774502
2008-06-01,0.0157,0.49548553663714995,46997.1530968275,1851.92,-0.11,0.14507820181496286,13760.76990659637,0.0,-0.0995,0.10656002475404659,10107.293608118147,0.0,-0.1265,0.13072985777259843,12399.819340366674,0.0,-0.0249,0.12214637902124223,11585.670318543123,-1851.92,94850.7062704518,-0.04223528334599802
2008-07-01,-0.0326,0.44948882987979305,41291.36306387092,-4314.33,-0.0304,0.16440770530030746,15102.97430943584,1815.73,0.0115,0.12614369165630449,11587.929719611506,1348.89,-0.0746,0.13850042624871067,12723.05562357532,1348.89,-0.0201,0.12145934691488419,11157.612064140407,-199.19,91862.93478063401,-0.031499728439539854
2008-08-01,-0.0485,0.42722346361672875,39288.73195527318,0.0,0.0595,0.2062657218274818,18968.80519584727,2800.57,0.0842,0.16963364734316005,15600.011396002794,2800.57,-0.0194,0.165528253910689,15222.467286477959,2800.57,0.0461,0.031348913301940354,2882.9386882972794,-8401.72,91962.95452189849,0.001088793227685514
2008-09-01,0.2581,0.464481812893047,49429.153672929184,0.0,0.0911,0.1944867733977785,20696.86334918896,0.0,0.1047,0.16194025121631225,17233.332589164285,0.0,0.0239,0.1464630694419384,15586.284254624781,0.0,0.2044,0.03262809305092384,3472.2113561852434,0.0,106417.84522209245,0.15718166924217214
2008-10-01,-0.1083,0.4580698760818307,42701.75962615095,-1541.12,-0.1089,0.20275184397637885,18900.741911462283,513.71,-0.1519,0.16145779441909114,15051.26681987023,513.71,-0.2015,0.1379070925063525,12855.845412317889,513.71,0.0689,0.03981339301634674,3711.446718626407,0.0,93221.06048842777,-0.12400913311224437
2008-11-01,0.2334,0.5036091601560845,51740.48817089459,-752.28,0.0087,0.18556837796854397,19065.178366092005,0.0,-0.0397,0.1406834734812141,14453.731527121383,0.0,-0.016,0.12312857091670175,12650.151885720803,0.0,0.0886,0.047010417477455595,4829.820705896706,725.28,102739.37065572549,0.10210471879880934
