data,sp500_retorno,sp500_peso,sp500_saldo,sp500_mov,small_caps_retorno,small_caps_peso,small_caps_saldo,small_caps_mov,emergentes_retorno,emergentes_peso,emergentes_saldo,emergentes_mov,ouro_retorno,ouro_peso,ouro_saldo,ouro_mov,saldo_total,retorno_total
2016-08-01,-0.0139,0.4330057910412126,114141.97539657967,0.0,0.005,0.19825608625235996,52261.05929166484,0.0,-0.0038,0.25700642905262716,67747.87337404386,0.0,-0.0432,0.1117316936538003,29452.89991938334,0.0,263603.8079816717,-0.011019579749965924
2016-09-01,0.0051,0.4289993853660036,114724.09947110222,0.0,0.0143,0.19821962325822232,53008.392439535644,0.0,0.0317,0.2613672149961359,69895.48096000105,0.0,0.0116,0.11141377637963817,29794.553558448188,0.0,267422.5264290871,0.01448658301507133
2016-10-01,-0.0367,0.43053130715918647,110513.72502051276,0.0,-0.0628,0.19353763680684624,49679.46539433281,0.0,-0.0258,0.2652685374871436,68092.17755123302,0.0,-0.0466,0.11066251854682364,28406.127362624502,0.0,256691.4953287031,-0.04012762590974006
2016-11-01,0.0979,0.43850041251868627,121333.01870002097,0.0,0.179,0.2116809238793897,58572.08969991838,0.0,0.0147,0.24970422276574483,69093.13256123614,0.0,-0.0248,0.10011444083617917,27701.655404031415,0.0,276699.8963652069,0.07794726900040971
2016-12-01,-0.025,0.44301633478552127,118299.69323252044,0.0,-0.0189,0.21519893404377888,57465.07720458993,0.0,-0.0557,0.24433236246722415,65244.64507757529,0.0,-0.0606,0.09745236870347564,26022.93508654711,0.0,267032.3506012328,-0.03493874009701203
2017-01-01,-0.0224,0.44449835316281366,117472.87701611198,1864.87,-0.0368,0.19464483130200988,51441.10921146102,-4058.61,0.0244,0.25876527251240955,68386.98235346813,1513.44,0.0104,0.10209154302276678,26980.9487314472,680.3,264281.91731248837,-0.010300000290420663
2017-02-01,0.0316,0.44848713370177035,121185.01992982111,0.0,0.0138,0.19300282297146382,52150.99651857918,0.0,0.0119,0.256101478783452,69200.7874434744,0.0,0.0256,0.10240856454331396,27671.66101897225,0.0,270208.4649108469,0.022425096876192763
2017-03-01,0.0134,0.4443878390113546,122808.89919688071,0.0,0.0112,0.19082356252079596,52735.08767958727,0.0,0.0512,0.2632259584350472,72743.8677605803,0.0,0.0143,0.10156264003280231,28067.36577154355,0.0,276355.2204085918,0.022748197395566327
2017-04-01,0.0189,0.4429949727095969,125129.98739170175,0.0,0.0213,0.1906735275187445,53858.345047162475,0.0,0.0269,0.26446118484203984,74700.6778033399,0.0,0.0252,0.10187031492961882,28774.66338898645,0.0,282463.67363119056,0.022103628849736934
2017-05-01,0.0354,0.44416746906006127,129559.588945368,0.0,0.0033,0.18525118838827573,54036.07758581811,0.0,0.0526,0.269565987509799,78629.93345579559,0.0,0.024,0.10101535504186401,29465.255310322125,0.0,291690.8552973038,0.03266679055573385
